+--------+-----------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                                    |
+--------+-----------------------------------------------------------------------------------------------------+
| Total  | 0.0 +- 0.0 (0%)                   | chi2=1.0|mwi=1.0|n=0.0M(1e+02%)|n0=0.0M(0.0e+00%)               |
| Sum    | 0.0 +- 0.0 (0%)                                                                                     |
| GL244  | -6.58663e-07 +- 2.13e-08 (3.2%)   | chi2=0.992|mwi=2.51|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%         |
| GL190  | -3.5704e-06  +- 2.1e-08  (0.59%)  | chi2=1.65|mwi=1.2|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%           |
| GL166  | +2.06871e-06 +- 2.03e-08 (0.98%)  | chi2=2.35|mwi=4.19|n=12.2M(0.044%)|n0=0.0M(0.0011%)|p=0.04%     |
| GL286  | -8.95588e-06 +- 1.97e-08 (0.22%)  | chi2=0.974|mwi=1.76|n=12.2M(0.044%)|n0=0.0M(7.4e-05%)|p=0.04%   |
| GL220  | -3.23442e-06 +- 1.87e-08 (0.58%)  | chi2=1.36|mwi=1.25|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL256  | -2.40484e-06 +- 1.86e-08 (0.77%)  | chi2=0.897|mwi=0.654|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%        |
| GL156  | -4.33232e-06 +- 1.82e-08 (0.42%)  | chi2=1.03|mwi=6.42|n=12.2M(0.044%)|n0=0.0M(0.0077%)|p=0.04%     |
| GL138  | +1.96128e-06 +- 1.73e-08 (0.88%)  | chi2=1.89|mwi=3.07|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04%    |
| GL4    | +1.77515e-06 +- 1.6e-08  (0.9%)   | chi2=1.07|mwi=1.24|n=12.2M(0.044%)|n0=0.0M(2.5e-05%)|p=0.04%    |
| GL376  | -7.5092e-07  +- 1.43e-08 (1.9%)   | chi2=1.35|mwi=4.83|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL442  | +1.58766e-06 +- 1.31e-08 (0.83%)  | chi2=0.938|mwi=23|n=12.2M(0.044%)|n0=0.0M(0.003%)|p=0.04%       | x
| GL8    | -1.89759e-06 +- 1.28e-08 (0.67%)  | chi2=0.91|mwi=1.36|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL124  | -1.03883e-06 +- 1.24e-08 (1.2%)   | chi2=1.17|mwi=1.78|n=12.2M(0.044%)|n0=0.0M(4.1e-05%)|p=0.04%    |
| GL136  | -5.13161e-08 +- 1.19e-08 (23%)    | chi2=1.18|mwi=2.44|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL152  | -1.37939e-05 +- 1.15e-08 (0.084%) | chi2=1.17|mwi=0.404|n=12.2M(0.044%)|n0=0.0M(0.00039%)|p=0.04%   |
| GL112  | -2.57716e-06 +- 1.02e-08 (0.4%)   | chi2=1.55|mwi=3.46|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04%    |
| GL454  | +1.90005e-06 +- 9.08e-09 (0.48%)  | chi2=1.06|mwi=1.21|n=12.2M(0.044%)|n0=0.0M(4.9e-05%)|p=0.04%    |
| GL362  | -2.2912e-06  +- 9.01e-09 (0.39%)  | chi2=1.1|mwi=6.54|n=12.2M(0.044%)|n0=0.0M(0.0075%)|p=0.04%      |
| GL440  | -1.08625e-06 +- 8.02e-09 (0.74%)  | chi2=1.11|mwi=107|n=12.2M(0.044%)|n0=0.0M(0.00026%)|p=0.04%     | x
| GL132  | -6.66507e-07 +- 7.31e-09 (1.1%)   | chi2=3.39|mwi=1.92|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          | x
| GL418  | -6.84837e-07 +- 7.27e-09 (1.1%)   | chi2=1.32|mwi=1.52|n=12.2M(0.044%)|n0=0.0M(0.0037%)|p=0.04%     |
| GL430  | +2.10043e-07 +- 6.92e-09 (3.3%)   | chi2=1.04|mwi=1.39|n=12.2M(0.044%)|n0=0.0M(5.7e-05%)|p=0.04%    |
| GL292  | -7.39593e-09 +- 5.96e-09 (81%)    | chi2=1.1|mwi=0.357|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
