+--------+-----------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                              |
+--------+-----------------------------------------------------------------------------------------------+
| GL196  | -1.05292e-06 +- 8.28e-07 (79%)    | chi2=0|mwi=0.962|n=7.5M(0.75%)|n0=0.0M(0.0015%)|p=0.75%   |
| GL134  | -3.45263e-06 +- 8.13e-07 (24%)    | chi2=0|mwi=0.508|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL222  | +8.94697e-06 +- 8e-07    (8.9%)   | chi2=0|mwi=0.41|n=7.5M(0.75%)|n0=0.0M(6.7e-05%)|p=0.75%   |
| GL282  | +2.04347e-07 +- 7.93e-07 (3.9e+02%) | chi2=0|mwi=0.958|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%   |
| GL102  | +9.47119e-07 +- 7.6e-07  (80%)    | chi2=0|mwi=0.907|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL286  | -9.135e-06   +- 7.27e-07 (8%)     | chi2=0|mwi=0.485|n=7.5M(0.75%)|n0=0.0M(0.0015%)|p=0.75%   |
| GL166  | +2.89796e-06 +- 6.6e-07  (23%)    | chi2=0|mwi=0.746|n=7.5M(0.75%)|n0=0.0M(6.7e-05%)|p=0.75%  |
| GL152  | -1.38784e-05 +- 5.91e-07 (4.3%)   | chi2=0|mwi=0.45|n=7.5M(0.75%)|n0=0.0M(0.0012%)|p=0.75%    |
| GL270  | +9.96401e-06 +- 5.13e-07 (5.2%)   | chi2=0|mwi=0.503|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%     |
| GL442  | +1.08794e-06 +- 4.85e-07 (45%)    | chi2=0|mwi=0.818|n=7.5M(0.75%)|n0=0.0M(0.00027%)|p=0.75%  |
| GL146  | -1.03763e-05 +- 4.61e-07 (4.4%)   | chi2=0|mwi=0.448|n=7.5M(0.75%)|n0=0.0M(1.3e-05%)|p=0.75%  |
| GL394  | +7.25211e-06 +- 4.57e-07 (6.3%)   | chi2=0|mwi=0.732|n=7.5M(0.75%)|n0=0.0M(0.0018%)|p=0.75%   |
| GL408  | -1.46544e-05 +- 4.53e-07 (3.1%)   | chi2=0|mwi=0.541|n=7.5M(0.75%)|n0=0.0M(0.33%)|p=0.75%     |
| GL190  | -3.27329e-06 +- 4.42e-07 (13%)    | chi2=0|mwi=0.63|n=7.5M(0.75%)|n0=0.0M(0.0012%)|p=0.75%    |
| GL276  | -4.67868e-06 +- 4.38e-07 (9.4%)   | chi2=0|mwi=0.678|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL230  | -4.05085e-06 +- 4.32e-07 (11%)    | chi2=0|mwi=0.593|n=7.5M(0.75%)|n0=0.0M(0.0038%)|p=0.75%   |
| GL180  | +3.59939e-06 +- 4.28e-07 (12%)    | chi2=0|mwi=0.576|n=7.5M(0.75%)|n0=0.1M(1%)|p=0.75%        |
| GL298  | +4.66565e-07 +- 4.2e-07  (90%)    | chi2=0|mwi=0.747|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%     |
