Run description: 80TeV_final_large_iterations (run id: 12347)
Result after 998.4M evaluations and 3 iterations: 0.00027144 +/- 0.001271   (4.7e+02%), chi2=0.461, max_wgt_infl=1.07, zero_evals=0.0978%
  -> Re[I0(mu_r_x_1)] = 0.00027144 +/- 0.0012707 (4.7e+02%), chi2=1.38, max_wgt_infl=1.07, zero_evals=0.0978%
     Im[I0(mu_r_x_1)] = 3.6142e-35 +/- 3.6142e-35 (1e+02%), chi2=1.34e+08, max_wgt_infl=2.37e+23, zero_evals=100%
+--------+----------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                                   |
+--------+----------------------------------------------------------------------------------------------------+
| GL222  | +8.59865e-06 +- 7.89e-07 (9.2%)   | chi2=0.233|mwi=0.535|n=2.2M(0.22%)|n0=0.0M(0%)|p=0.045%        |
| GL428  | -6.48139e-06 +- 7.6e-07  (12%)    | chi2=1.15|mwi=1.11|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%       |
| GL424  | +7.75238e-06 +- 7.54e-07 (9.7%)   | chi2=2.77|mwi=4.25|n=2.2M(0.22%)|n0=0.0M(0.6%)|p=0.045%        |
| GL274  | -1.4865e-05  +- 7.19e-07 (4.8%)   | chi2=0.424|mwi=7.76|n=2.2M(0.22%)|n0=0.0M(0.0012%)|p=0.045%    |
| GL288  | +1.12944e-06 +- 7.19e-07 (64%)    | chi2=0.954|mwi=0.788|n=2.2M(0.22%)|n0=0.0M(0.0012%)|p=0.045%   |
| GL270  | +9.1891e-06  +- 7.03e-07 (7.7%)   | chi2=0.821|mwi=0.786|n=2.2M(0.22%)|n0=0.0M(0.6%)|p=0.045%      |
| GL230  | -3.7839e-06  +- 6.37e-07 (17%)    | chi2=0.57|mwi=65.5|n=2.7M(0.27%)|n0=0.0M(0.0025%)|p=0.045%     |
| GL378  | +2.87997e-06 +- 6.26e-07 (22%)    | chi2=1.3|mwi=42.6|n=2.5M(0.25%)|n0=0.0M(0.28%)|p=0.045%        |
| GL160  | +1.28103e-06 +- 5.99e-07 (47%)    | chi2=0.448|mwi=0.698|n=2.2M(0.22%)|n0=0.0M(0.00032%)|p=0.045%  |
| GL134  | -4.3821e-06  +- 5.96e-07 (14%)    | chi2=3.26|mwi=2.81|n=2.2M(0.22%)|n0=0.0M(0.3%)|p=0.045%        |
| GL122  | +4.8662e-06  +- 5.95e-07 (12%)    | chi2=4.42|mwi=1.04|n=2.2M(0.22%)|n0=0.0M(0.0013%)|p=0.045%     |
| GL394  | +7.02286e-06 +- 5.71e-07 (8.1%)   | chi2=1.79|mwi=4.87|n=2.2M(0.22%)|n0=0.0M(0.0012%)|p=0.045%     |
| GL362  | -2.14291e-06 +- 5.52e-07 (26%)    | chi2=1.28|mwi=2.46|n=2.2M(0.22%)|n0=0.0M(0.38%)|p=0.045%       |
| GL156  | -4.44262e-06 +- 5.25e-07 (12%)    | chi2=2.4|mwi=1.21|n=2.2M(0.22%)|n0=0.0M(0.37%)|p=0.045%        |
| GL232  | +9.35175e-06 +- 5.17e-07 (5.5%)   | chi2=1.28|mwi=37.1|n=2.3M(0.24%)|n0=0.0M(0%)|p=0.045%          |
| GL102  | +4.6514e-08  +- 4.57e-07 (9.8e+02%) | chi2=0.382|mwi=0.814|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%   |
| GL180  | +5.18926e-06 +- 4.35e-07 (8.4%)   | chi2=5.59|mwi=1.06|n=2.2M(0.22%)|n0=0.0M(0.9%)|p=0.045%        |
| GL146  | -1.05294e-05 +- 4.14e-07 (3.9%)   | chi2=0.63|mwi=2.26|n=2.2M(0.22%)|n0=0.0M(0%)|p=0.045%          |
| GL152  | -1.26733e-05 +- 4.12e-07 (3.3%)   | chi2=1.73|mwi=0.82|n=2.2M(0.22%)|n0=0.0M(0.00091%)|p=0.045%    |
| GL276  | -4.03939e-06 +- 3.92e-07 (9.7%)   | chi2=1.57|mwi=1.4|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%        |
| GL246  | +3.85733e-06 +- 3.87e-07 (10%)    | chi2=5.43|mwi=0.446|n=2.2M(0.22%)|n0=0.0M(0.0011%)|p=0.045%    |
| GL224  | -4.77167e-07 +- 3.82e-07 (80%)    | chi2=0.669|mwi=5.97|n=2.2M(0.22%)|n0=0.0M(0.59%)|p=0.045%      |
| GL404  | +6.40394e-06 +- 3.65e-07 (5.7%)   | chi2=5.26|mwi=1.69|n=2.2M(0.22%)|n0=0.0M(0.6%)|p=0.045%        |
| GL8    | -1.64529e-06 +- 3.44e-07 (21%)    | chi2=0.839|mwi=1.17|n=2.2M(0.22%)|n0=0.0M(0.37%)|p=0.045%      |
| GL386  | -5.81165e-06 +- 3.44e-07 (5.9%)   | chi2=2.44|mwi=2.7|n=2.2M(0.22%)|n0=0.0M(4.6e-05%)|p=0.045%     |
| GL238  | +9.78168e-07 +- 3.44e-07 (35%)    | chi2=1.64|mwi=25.8|n=2.2M(0.22%)|n0=0.0M(0.58%)|p=0.045%       |
| GL408  | -1.36796e-05 +- 3.41e-07 (2.5%)   | chi2=0.874|mwi=0.426|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%     |
| GL228  | +1.17793e-06 +- 3.3e-07  (28%)    | chi2=0.452|mwi=1.64|n=2.2M(0.22%)|n0=0.0M(0.0013%)|p=0.045%    |
| GL120  | +6.07386e-07 +- 3.02e-07 (50%)    | chi2=1.49|mwi=6.9|n=2.2M(0.22%)|n0=0.0M(0.00014%)|p=0.045%     |
| GL384  | +5.8314e-06  +- 2.97e-07 (5.1%)   | chi2=1.32|mwi=0.719|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%      |
| GL164  | -4.7355e-06  +- 2.89e-07 (6.1%)   | chi2=0.561|mwi=1.43|n=2.2M(0.22%)|n0=0.0M(0.00014%)|p=0.045%   |
| GL190  | -2.96729e-06 +- 2.88e-07 (9.7%)   | chi2=1.38|mwi=3.21|n=2.2M(0.22%)|n0=0.0M(0.0011%)|p=0.045%     |
| GL0    | -5.9969e-06  +- 2.57e-07 (4.3%)   | chi2=0.231|mwi=1.6|n=2.2M(0.22%)|n0=0.0M(0.001%)|p=0.045%      |
| GL196  | +1.01558e-07 +- 2.39e-07 (2.4e+02%) | chi2=1.29|mwi=2.66|n=2.2M(0.22%)|n0=0.0M(0.0015%)|p=0.045%   |
| GL418  | -6.81942e-07 +- 2.3e-07  (34%)    | chi2=0.8|mwi=0.784|n=2.2M(0.22%)|n0=0.0M(0.00036%)|p=0.045%    |
| GL442  | +1.37767e-06 +- 2.2e-07  (16%)    | chi2=1.55|mwi=0.443|n=2.2M(0.22%)|n0=0.0M(0.00036%)|p=0.045%   |
| GL9    | +6.71434e-08 +- 1.91e-07 (2.8e+02%) | chi2=1.24|mwi=1.23|n=2.2M(0.22%)|n0=0.0M(0.37%)|p=0.045%     |
| GL376  | -5.65678e-07 +- 1.72e-07 (30%)    | chi2=2.58|mwi=6.82|n=2.2M(0.22%)|n0=0.0M(0.3%)|p=0.045%        |
| GL298  | +4.4984e-07  +- 1.67e-07 (37%)    | chi2=1.59|mwi=9.38|n=2.2M(0.22%)|n0=0.0M(0.36%)|p=0.045%       |
| GL166  | +1.68639e-06 +- 1.61e-07 (9.5%)   | chi2=3.97|mwi=27.3|n=2.2M(0.22%)|n0=0.0M(0.00018%)|p=0.045%    |
| GL116  | -8.24325e-07 +- 1.53e-07 (19%)    | chi2=0.164|mwi=1.74|n=2.2M(0.22%)|n0=0.0M(0.36%)|p=0.045%      |
| GL138  | +1.8806e-06  +- 1.51e-07 (8%)     | chi2=0.827|mwi=1.07|n=2.2M(0.22%)|n0=0.0M(0.3%)|p=0.045%       |
| GL220  | -3.13267e-06 +- 1.36e-07 (4.3%)   | chi2=0.965|mwi=0.782|n=2.2M(0.22%)|n0=0.0M(0.3%)|p=0.045%      |
| GL256  | -2.5853e-06  +- 1.33e-07 (5.2%)   | chi2=0.278|mwi=0.984|n=2.2M(0.22%)|n0=0.0M(0.001%)|p=0.045%    |
| GL154  | +3.61826e-06 +- 1.33e-07 (3.7%)   | chi2=0.643|mwi=0.65|n=2.2M(0.22%)|n0=0.0M(0.001%)|p=0.045%     |
| GL244  | -9.53178e-07 +- 1.31e-07 (14%)    | chi2=1.18|mwi=0.425|n=2.2M(0.22%)|n0=0.0M(0.00087%)|p=0.045%   |
| GL282  | +9.37356e-07 +- 1.29e-07 (14%)    | chi2=0.0532|mwi=1.46|n=2.2M(0.22%)|n0=0.0M(0.37%)|p=0.045%     |
| GL112  | -2.45364e-06 +- 1.17e-07 (4.8%)   | chi2=0.487|mwi=0.699|n=2.2M(0.22%)|n0=0.0M(0%)|p=0.045%        |
| GL136  | -2.74705e-08 +- 1.04e-07 (3.8e+02%) | chi2=0.208|mwi=1.09|n=2.2M(0.22%)|n0=0.0M(0.0011%)|p=0.045%  |
| GL294  | +9.04027e-07 +- 8.54e-08 (9.4%)   | chi2=0.186|mwi=1.36|n=2.2M(0.22%)|n0=0.0M(0.001%)|p=0.045%     |
| GL124  | -8.73046e-07 +- 8.41e-08 (9.6%)   | chi2=0.49|mwi=1.32|n=2.2M(0.22%)|n0=0.0M(0%)|p=0.045%          |
| GL454  | +1.80766e-06 +- 7.86e-08 (4.3%)   | chi2=2.61|mwi=5.2|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%        |
| GL4    | +1.68475e-06 +- 7.84e-08 (4.7%)   | chi2=0.172|mwi=0.726|n=2.2M(0.22%)|n0=0.0M(0.0014%)|p=0.045%   |
| GL440  | -8.8445e-07  +- 7.21e-08 (8.2%)   | chi2=1.36|mwi=1.41|n=2.2M(0.22%)|n0=0.0M(0.00036%)|p=0.045%    |
| GL132  | -7.40295e-07 +- 6.24e-08 (8.4%)   | chi2=1.06|mwi=1.14|n=2.2M(0.22%)|n0=0.0M(0.6%)|p=0.045%        |
| GL296  | -1.03258e-07 +- 5.92e-08 (57%)    | chi2=2.13|mwi=1.18|n=2.2M(0.22%)|n0=0.0M(0.001%)|p=0.045%      |
| GL278  | +2.83114e-06 +- 5.19e-08 (1.8%)   | chi2=0.951|mwi=0.589|n=2.2M(0.22%)|n0=0.0M(0.0013%)|p=0.045%   |
| GL450  | -1.12491e-06 +- 5.06e-08 (4.5%)   | chi2=1.31|mwi=1.68|n=2.2M(0.22%)|n0=0.0M(0.59%)|p=0.045%       |
| GL430  | +2.46725e-07 +- 5.04e-08 (20%)    | chi2=2.03|mwi=2.01|n=2.2M(0.22%)|n0=0.0M(0.3%)|p=0.045%        |
| GL114  | +7.77357e-07 +- 4.51e-08 (5.8%)   | chi2=1.48|mwi=0.571|n=2.2M(0.22%)|n0=0.0M(0%)|p=0.045%         |
| GL280  | -9.11639e-07 +- 4.06e-08 (4.5%)   | chi2=0.821|mwi=1.32|n=2.2M(0.22%)|n0=0.0M(0.0011%)|p=0.045%    |
| GL292  | -1.77108e-08 +- 3.9e-08  (2.2e+02%) | chi2=1.16|mwi=0.697|n=2.2M(0.22%)|n0=0.0M(0.37%)|p=0.045%    |
| GL150  | -1.3213e-09  +- 3.31e-08 (2.5e+03%) | chi2=0.896|mwi=0.61|n=2.2M(0.22%)|n0=0.0M(0.37%)|p=0.045%    |
| GL416  | +8.34342e-07 +- 2.62e-08 (3.1%)   | chi2=0.0813|mwi=0.666|n=2.2M(0.22%)|n0=0.0M(0.00023%)|p=0.045% |
| GL426  | -7.9769e-09  +- 1.85e-08 (2.3e+02%) | chi2=0.575|mwi=0.565|n=2.2M(0.22%)|n0=0.0M(0.59%)|p=0.045%   |
| GL12   | +1.816e-08   +- 1.79e-08 (99%)    | chi2=0.733|mwi=6.8|n=2.2M(0.22%)|n0=0.0M(0.38%)|p=0.045%       |
| GL182  | +1.29211e-07 +- 1.63e-08 (13%)    | chi2=12.4|mwi=8.47|n=2.2M(0.22%)|n0=0.0M(0.91%)|p=0.045%       |
| GL158  | +1.88494e-09 +- 1.19e-08 (6.3e+02%) | chi2=0.579|mwi=0.653|n=2.2M(0.22%)|n0=0.0M(0.38%)|p=0.045%   |
| GL300  | +1.37167e-08 +- 9.16e-09 (67%)    | chi2=0.689|mwi=9.1|n=2.2M(0.22%)|n0=0.0M(0.37%)|p=0.045%       |
| GL178  | -1.44904e-07 +- 9.16e-09 (6.3%)   | chi2=1.23|mwi=0.872|n=2.2M(0.22%)|n0=0.0M(0.92%)|p=0.045%      |
| GL284  | -1.05591e-09 +- 8.63e-09 (8.2e+02%) | chi2=1.7|mwi=0.951|n=2.2M(0.22%)|n0=0.0M(0.38%)|p=0.045%     |
| GL13   | +7.60167e-09 +- 6.48e-09 (85%)    | chi2=0.892|mwi=0.652|n=2.2M(0.22%)|n0=0.0M(0.37%)|p=0.045%     |
| GL364  | -2.78416e-09 +- 5.04e-09 (1.8e+02%) | chi2=0.298|mwi=0.577|n=2.2M(0.22%)|n0=0.0M(0.37%)|p=0.045%   |
| GL118  | -1.89464e-09 +- 4.45e-09 (2.3e+02%) | chi2=0.541|mwi=20.1|n=2.2M(0.22%)|n0=0.0M(0.38%)|p=0.045%    |
+--------+----------------------------------------------------------------------------------------------------+
