madgraph.havana 2025-05-03,06:25:22.223706 Now running iteration #4
| Status of 500 workers: 0 pending, 0 available, 500 running. A total of 0 jobs are pending.
| Jobs completed: overall = 6793 (avg 64.3 min/job), and for this iteration = 793/1318/2000 on 500 cpus.
| Total n_pts: 339.6M ( 85.5 ms / pt on one core,  5.8K pts / s overall ). n_pts for this iteration #4: 39.65M/100.00M (39.6%).
| Wall time: 16.142 h, IO: 0.01%, processing: 0.00%, jobs: 7276.793 CPU-hours, efficiency: 90.16%

Run description: nnlo_all_singlets_1_sqrts_346_05 (run id: 1)
Result after 339.6M evaluations and 3 iterations: -1.8484 +/- 0.02265   (1.2%), chi2=1.88, max_wgt_infl=92.8, zero_evals=7.8%
  -> Re[I0(mu_r_x_1)] = -1.8484 +/- 0.022653 (1.2%), chi2=5.63, max_wgt_infl=92.8, zero_evals=7.8%
     Im[I0(mu_r_x_1)] = -2.1351e-40 +/- 2.1351e-40 (1e+02%), chi2=2, max_wgt_infl=1.95e+31, zero_evals=100%
+--------+------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                               |
+--------+------------------------------------------------------------------------------------------------+
| Total  | -1.8484      +- 0.0227   (1.2%)   | chi2=1.88|mwi=92.8|n=339.6M(1e+02%)|n0=26.5M(7.8%)         |
| Sum    | -1.86996     +- 0.0212   (1.1%)                                                                |
| GL42   | -8.99954e-05 +- 3.71e-06 (4.1%)   | chi2=0.79|mwi=0.212|n=0.9M(0.27%)|n0=0.0M(2%)|p=0.07%      |
| GL256  | -0.000125151 +- 3.65e-06 (2.9%)   | chi2=1.03|mwi=0.23|n=0.9M(0.27%)|n0=0.0M(1.9%)|p=0.07%     |
| GL106  | +0.00012924  +- 3.63e-06 (2.8%)   | chi2=0.819|mwi=0.737|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%    |
| GL226  | +1.48354e-05 +- 3.47e-06 (23%)    | chi2=0.5|mwi=0.207|n=0.9M(0.27%)|n0=0.0M(1.8%)|p=0.07%     |
| GL196  | +6.16589e-05 +- 3.15e-06 (5.1%)   | chi2=0.378|mwi=0.215|n=0.9M(0.27%)|n0=0.0M(2.1%)|p=0.07%   |
| GL12   | +0.000158145 +- 3.05e-06 (1.9%)   | chi2=1.29|mwi=2|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%         |
| GL288  | +1.67762e-06 +- 2.99e-06 (1.8e+02%) | chi2=2.2|mwi=30.9|n=0.9M(0.27%)|n0=0.0M(2.1%)|p=0.07%    |
| GL154  | -5.29508e-06 +- 2.95e-06 (56%)    | chi2=0.64|mwi=1.81|n=0.9M(0.27%)|n0=0.0M(1.9%)|p=0.07%     |
| GL244  | -1.97311e-06 +- 2.95e-06 (1.5e+02%) | chi2=1.02|mwi=0.288|n=0.9M(0.27%)|n0=0.0M(1.9%)|p=0.07%  |
| GL104  | -1.93002e-05 +- 2.88e-06 (15%)    | chi2=1.43|mwi=0.389|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%     |
